,title,source,excerpt,date
0,"After 5G equipment, Tata Group looking to enter semiconductor manufacturing",Mint,"Mumbai: Tata Group is looking to make a foray into semiconductor 
manufacturing, Chairman N Chandrasekaran said on Monday.",7 hours ago
1,"Chinese chip foundry SMIC forges ahead with new Beijing, Shenzhen plants",South China Morning Post,"Semiconductor giant SMIC expects construction of its new chip fabrication 
plants to proceed 'as planned', after the firm posted strong ...",3 days ago
2,"Taiwan semiconductor firms hungry for workers; wages lag US, Japan",Taipei Times,"Taiwan's semiconductor industry has been aggressively recruiting talent 
this year, with its demand for workers in the second quarter rising ...",1 day ago
3,These 2 Things Make NVIDIA the Best Semiconductor Stock For the 2020s,The Motley Fool,"Nvidia is trying to acquire leading chip licensor ARM, but has its own 
extensive chip licensing business already established.",2 days ago
4,Japan seeks new ways to strengthen semiconductor production,NHK.JP,"Japan once led the world in semiconductor production. Back in the 1980s it 
had a 50 percent share of the global market.",3 days ago
5,Taiwan's semiconductor industry hungry for workers: job bank,Focus Taiwan,"Taipei, Aug. 7 (CNA) Taiwan's NT$3 trillion (US$107.9 billion) 
semiconductor industry has been aggressively recruiting talent this 
year, ...",2 days ago
6,"AMD: Advanced Micro Devices vs. Micron Technology: Which Semiconductor 
Stock is a Better Buy?",StockNews,"Advanced Micro Devices Inc.(Nasdaq:AMD): Even amidst a global-wide chip 
shortage, semiconductor stocks are as popular as ever.",3 days ago
7,The chips are down: Why there's a semiconductor shortage,CNA,"PARIS: A shortage of semiconductors has sent shockwaves through the global 
economy, squeezing supplies of everything from cars to headphones ...",1 week ago
8,China’s biggest foundry founder founds another foundry,South China Morning Post,"Richard Chang, the father of China's foundry industry, is back with a new 
fab in Qingdao – a timely move given the surging demand for chips ...",4 days ago
9,"Goldman Sachs: Buy these semiconductor stocks as electric vehicle demand 
heats up",CNBC,"Goldman likes says semiconductor stocks are set to benefit from a sharp 
increase in demand for electric vehicle components.",3 days ago
10,"Your questions about the global chip shortage, answered",Popular Science,"The chips, often called semiconductors, sometimes called microchips, 
function as the brains of our electronics. They're tiny technological ...",3 hours ago
11,QLC at SLC speed: NEO Semiconductor's X-NAND flash ...,Blocks and Files,"NEO Semiconductor has patented X-NAND tech to accelerate SSD writes 
fifteenfold, and shrink die sizes. Two patents were awarded on August 5.",3 days ago
12,Soaring Semiconductor Sales Could Be Super for 'SMH',ETF Trends,"For technology investors in 2021, there's no escaping talk of the global 
semiconductor shortage, but for as onerous as that situation is, ...",2 hours ago
13,Meet The Demand For Semiconductors With These Three ...,Forbes,"Semiconductors are used in the manufacturing of various kinds of electronic 
devices, including diodes, transistors and integrated circuits.",4 days ago
14,New study program for semiconductor industry,Innovation Origins,"In September, a new program will be launched: the Semiconductor Packaging 
University Program. This was the wish of both chip manufacturers ...",3 days ago
15,The Semiconductor Shortage: Implications for the Global ...,DBusiness Magazine,"Many of the recent automotive factory shut downs and reports and inflation 
can be tied to the heavily publicized global chip shortage. // Stock Photo.",1 week ago
16,New semiconductor cools computer chips – Physics World,Physics World,"Most semiconductors (including silicon, germanium, gallium arsenide and 
gallium nitride) and metals have Debye temperatures below 700 K, ...",4 days ago
17,The United States is determined to dominate the ...,East Asia Forum,"The United States is determined to dominate the semiconductor tech war. 6 
August 2021. Author: June Park, George Washington University. The United 
States is ...",3 days ago
18,Foxconn to Buy Semiconductor Manufacturing Facility,The Wall Street Journal,"Foxconn to Buy Semiconductor Manufacturing Facility. The world's largest 
assembler of Apple iPhones says the purchase will help secure a steady ...",4 days ago
19,Guangdong Province plans to phase in local semiconductor ...,Global Times,"South China's Guangdong Province on Monday unveiled a vision for the 
creation of a comprehensive semiconductor industry supply chain as part ...",5 hours ago
20,Applied Materials Launches New Semiconductor Inspection ...,Pharmaceutical Technology,"Concept: US-based semiconductor equipment manufacturer Applied Materials 
launched optical semiconductor wafer inspection machines using AI ...",11 hours ago
21,"Onsemi, formerly ON Semiconductor, now pledges to be net-zero by 2040, CEO 
says",CNBC,"ON Semiconductor, now known as Onsemi, plans to achieve net-zero emissions 
by 2040, president and CEO Hassane El-Khoury told CNBC's Jim Cramer ...",3 days ago
22,"Security concerns over chip shortage are pushing governments to act, 
Moody’s says",CNBC,"More countries are pushing to produce their own semiconductor chips, which 
are in short supply globally, because “it's a matter of national ...",5 days ago
23,BlackRock launches semiconductor ETF,ETF Stream,"BlackRock has expanded its thematic ETF range with the launch of a global 
semiconductor strategy. The iShares MSCI Global Semiconductors UCITS ...",4 days ago
24,Analysts up Inari Amertron TPs after semiconductor maker ...,The Edge Markets,"Last Friday, Inari, which also offers outsourced semiconductor assembly and 
test services, said in a Bursa Malaysia filing that its net ...",12 hours ago
25,Semiconductor Shortage: China's Chipmaking Efforts Falter ...,Bloomberg.com,"The country's attempts to steer its semiconductor industry into ... The 
country doesn't control the semiconductors that are the building ...",2 weeks ago
26,SNPT Supplies Semiconductor Samples 'within 2 days' from 8 weeks,ETNEWS,"SNPT, a small and medium-sized semiconductor packaging company in Korea, 
has commercialized a technology for packaging semiconductors of ...",10 hours ago
27,Now there’s worry the chip shortage will turn into a chip glut,Fortune,"... a shortage in semiconductors—the components vital to controlling ... to 
advance capacity in the domestic semiconductor industry,” says ...",6 days ago
28,Demand for Taiwan's semiconductor industry to stay strong ...,Taiwan News,"According to the updated foundry capacity forecasts for next year by Taiwan 
Semiconductor Manufacturing Corp. (TSMC) and United Microelectronics ...",5 days ago
29,Semiconductor quantum dots: Technological progress and ...,Science,"Semiconductor materials feature optical and electronic properties that can 
be engineered through their composition and crystal structure. The ...",4 days ago
30,Why US-China Rivalry Might Be Good for Singapore's ...,The Diplomat,"Chartered Semiconductor was meant to help turn Singapore into a global 
manufacturing hub for semiconductors and computer components and for a ...",4 weeks ago
31,ON Semiconductors Investing in its Automotive Future,Nasdaq,"As the semiconductor shortage persists, acting as a drag on automotive and 
other electrical-heavy industries, the actual companies doing the ...",6 hours ago
32,TSMC and Samsung: Semiconductor Chip Shortage – The ...,The Diplomat,"The impact of the pandemic led to a surprising surge in demand for 
semiconductors, which no one anticipated. The result has been long 
queues ...",1 week ago
33,Morse Micro dodges semiconductor crisis thanks to strong ...,Financial Review,"Australia's largest semiconductor company, Morse Micro, has shaken off the 
global semiconductor shortage to ramp up the production of its ...",1 day ago
34,Semiconductors: Europe’s expensive plan to reach the top tier of chipmakers,Financial Times,"While semiconductors are a prerequisite for emerging technologies such as 
artificial intelligence, quantum computing and autonomous vehicles, it ...",3 weeks ago
35,5 Solid Stocks to Buy on a Booming Semiconductor Market,Yahoo Finance,"With demand for semiconductors on the rise, global sales once again moved 
northward in June. According to the Semiconductor Industry Association ...",4 days ago
36,Singapore's semiconductor industry faces intensifying global competition,The Business Times,"THE semiconductor industry in Singapore faces increasing global 
competition, according to Minister of State for Trade and Industry Alvin 
Tan ...",2 weeks ago
37,Commentary: The US-China semiconductor race does not ...,CNA,"For example, although US firms design cutting-edge semiconductors, 
America's share of global output has declined from 37 per cent in 1990 
to ...",2 weeks ago
38,Hemlock Semiconductor to integrate QSS employees,Midland Daily News,"Hemlock Semiconductor Operations (HSC) is updating its partnership with 
Qualified Staffing (QSS) by assuming direct operational control of ...",8 hours ago
39,Semiconductor sector outlook continues to be bullish,The Star,"Within its semiconductor sector coverage, the research unit has “buy” calls 
on Inari Amertron Bhd (target price: RM4.25), Unisem (M) Bhd (target ...",4 days ago
40,"On Semiconductor Is a Buy, Traders Should Add to Longs",RealMoney,"Stocks quotes in this article: ON. For his final ""Executive Decision"" 
segment of Mad Money Thursday evening, Jim Cramer checked in with ...",2 hours ago
41,Global semiconductor sales increase 29.2% to US$44.5bil in ...,The Star,"PETALING JAYA: Worldwide sales of semiconductors rose 29.2% to ... SIA 
represents 98% of the US semiconductor industry by revenue and nearly ...",6 days ago
42,Chinese Chipmakers Slump as Beijing Sends Speculation Warning,Yahoo Finance,"Shanghai-listed Will Semiconductor Co. fell 5.7%, while Hubei Tech 
Semiconductors Co. was down 3.3%.",9 hours ago
43,SMC 2021 to Highlight Semiconductor Materials Powering ...,HPCwire,"Themed Leading Future Technology Innovations with Materials, SMC 2021 will 
gather leaders from every segment of semiconductor manufacturing to ...",5 days ago
44,Lennar (LEN) buys lots in north Phoenix near Taiwan ...,The Business Journals,"Hundreds of homes are being planned near the Taiwan Semiconductor 
Manufacturing Co. Ltd.'s 1,128-acre manufacturing plant under 
construction ...",1 day ago
45,"Semiconductor and Electronic Parts Manufacturing Market Report 2021 - 
Global Growth, Trends, COVID-19 Impact, and Forecasts to 2026 - 
ResearchAndMarkets.com",Yahoo Finance,"The overall semiconductor industry has been driven by smartphones and other 
applications across consumer electronics, automotive applications, ...",3 days ago
46,The 10 Biggest Semiconductor News Stories Of 2021 (So Far),CRN,"The global chip shortage is easily the biggest story of the semiconductor 
industry this year, but there have been plenty of other major ...",2 weeks ago
47,Semiconductors pose an unwelcome roadblock for carmakers,The Economist,"A shortage of semiconductors has left car firms unable to install the ... 
car firms found themselves low in the semiconductor pecking order: ...",4 days ago
48,Semiconductor Surface States Enhance Wavelength ...,Photonics.com,"Semiconductor Surface States Enhance Wavelength Conversion ... LOS ANGELES, 
Aug. 3, 2021 — Electrical engineers from the UCLA Samueli School of 
Engineering ...",6 days ago
49,"Global semiconductor shortage: More challenging times ahead for Europe’s 
major carmakers",Euronews,"BMW and Stellantis became the latest major carmakers to warn on Tuesday 
that the global semiconductor chip shortage that has bedeviled the ...",6 days ago
50,The Global Semiconductor Shortage Persist for more than ...,ELE Times,"“Semiconductor manufacturing is a globally intertwined ecosystem, which 
makes the supply chain vulnerable to macroeconomics, geopolitics and ...",3 weeks ago
51,TSMC head calls for 'free trade'; semiconductor localization ...,Global Times,"The president of Taiwan Semiconductor Manufacturing Co (TSMC) called on 
countries to adopt ""free trade"" at a time when many governments were ...",2 weeks ago
52,This Semiconductor Growth Stock Just Crushed Earnings,The Motley Fool,"Cohu is seeing robust demand for its semiconductor-related products and 
services. While keeping expenses under control in Q2, Cohu grew revenue ...",4 days ago
53,Semiconductor equipment sales to hit US$100bn,Taipei Times,"The global semiconductor equipment market is forecast to expand to a 
record-high US$100 billion next year, with Taiwan regaining its top ...",3 weeks ago
54,Semiconductor stocks are rallying — and they still look like bargains,MarketWatch,"But chip makers as a group trade below the broad indexes on a 
price-to-earnings basis. Below is a list of the 10 semiconductor 
companies ...",5 days ago
55,"SoftBank Leads $200 Million Investment In Semiconductor Startup, Boosts 
Logistics Chip Space",Forbes,"A $200 million funding round led by Japanese billionaire Masayoshi Son's 
SoftBank gave a little-known California-based semiconductor startup ...",1 week ago
56,"Instead of EV Stocks, Consider These 3 Chip Stocks",The Motley Fool,"But here's an alternative: semiconductor stocks. Semiconductors are the 
basic building blocks of all technology, and they're gobbling up ...",3 days ago
57,U.K. Sold Off $42 Billion of Semiconductor Firms Before Review,Bloomberg.com,"The U.K. was once the leading semiconductor innovator in Europe, producing 
the likes of Arm Ltd., whose technology is found in 90% of all ...",1 month ago
58,Semiconductor subsidies have skyrocketed,Morning Brew,"Semiconductor subsidies have skyrocketed. From 2000-2020, the US, EU, and 
South Korea spent $12.5 billion total on chips—now, they've pledged a ...",2 weeks ago
59,"With Auto Chip Shortage Easing, Are Semiconductor Equipment Stocks Still A 
Buy?",Forbes,"The stocks in the theme have had a relatively mixed couple of days, driven 
by news from TSMC, the largest semiconductor contract manufacturer, ...",3 weeks ago
60,"Advanced Micro Devices vs. Micron Technology: Which Semiconductor Stock is 
a Better Buy?",Yahoo Finance,"Semiconductors certainly receive their fair share of media coverage. ... If 
you are uncertain which semiconductor stock is best for your ...",3 days ago
61,How Semiconductor Shortages Have Taken A Chip Out Of The Global Supply Chain,Forbes,"While news reports on the semiconductor shortage has focused on the 
automotive industry, most consumer electronics and hi-tech companies will 
be ...",4 weeks ago
62,China’s semiconductor output hits record in June with support from Beijing,South China Morning Post,"China's semiconductor output hits record high as Beijing boosts local 
production amid intensifying US-China tech war · China's integrated 
circuit ...",3 weeks ago
63,Chipmakers worry industry will make too many semiconductors,The Business Times,"The entire chip industry is cranking up investments to meet the surging 
demand. Taiwan Semiconductor Manufacturing, the world's top chipmaker, ...",2 weeks ago
64,The 5nm and 3nm chips by TSMC are maxed out. What happens next?,Tech Wire Asia,"Semiconductor foundry Taiwan Semiconductor Manufacturing Company ... it is 
the most sought-out semiconductor company in the world especially ...",12 hours ago
65,What this Dutch semiconductor company could tell you about the car market,Marketplace.org,"NXP makes semiconductors that go into both the body and brain of a car. Its 
chips make seats recline, tell windows to roll up and even let the ...",1 week ago
66,"Why Did Chip Stocks Climb Thursday? Global Semiconductor Shortage Fuels 
Gains.",Barron's,"Several auto semiconductor manufacturers such as On Semiconductor (ON) and 
NXP Semiconductors (NXPI) also saw their share prices climb briskly.",1 week ago
67,Biden administration sounds the alarm on the semiconductor crisis,Fortune,"Semiconductors, or computer chips, act as the brains that power our 
technological devices. These chips, now smaller than a stamp and thinner ...",3 weeks ago
68,"Ford expects semiconductor rebound, new vehicle demand to increase 2021 
profits",TechCrunch,"Despite semiconductor shortages peaking during the second quarter of 2021, 
Ford says it delivered better-than-expected operating results by ...",2 weeks ago
69,"Industry, Unions Urge Congress to Speed Semiconductor Bills",Bloomberg.com,"Congress must act quickly to bolster semiconductor manufacturing in the 
U.S., according to a letter from several trade groups and unions ...",2 weeks ago
70,ON Semiconductor changes its name and looks toward a green future,ABC15 Arizona,"ON Semiconductor (Nasdaq: ON) is now known as onsemi and the company said 
the shift goes hand in hand with its renewed focus on the ...",3 days ago
71,"China is buying up chip firms in a push for semiconductor supremacy, says 
UK lawmaker",CNBC,"LONDON — A U.K. lawmaker believes China is using questionable methods to 
ensure it becomes a world leader in semiconductor technology.",3 weeks ago
72,"SkyWater CEO: America Is Losing the War for Semiconductors to Asian 
Manufacturers. National Security Is at Risk.",Barron's,"About the author: Thomas Sonderman is president and CEO of SkyWater 
(ticker: SKYT), a U.S.-based semiconductor foundry.",3 weeks ago
73,BlackRock launches Article 8 global semiconductor ETF ...,Citywire Selector,"It will invest in over 200 companies across more than 15 different 
countries. SEMI tracks the MSCI ACWI IMI Semiconductors & Semiconductor ...",4 days ago
74,"Should You Buy Applied Materials, Inc. (AMAT) in Semiconductor Equipment & 
Materials Industry?",InvestorsObserver,"(AMAT) is the highest overall rated company in the Semiconductor Equipment 
& Materials industry with an overall score of 76. AMAT is up 118.65% ...",7 hours ago
75,Global Semiconductor Market Size Growing at 6.81 Percent ...,PR Newswire,"NEW YORK, Aug.6, 2021 /PRNewswire/ -- The Semiconductor market will 
register an incremental spend of about USD 171.69 Billion, growing at a ...",3 days ago
76,"GlobalFoundries to expand US HQ, increasing its ...",Morning Brew,"GlobalFoundries to expand US HQ, increasing its semiconductor output. It 
also announced a $4 billion fabrication plant in Singapore. July 26, ...",2 weeks ago
77,"Semiconductor Chips: Small Tech, Big Impact",Forbes,"As this Forbes article explains, semiconductors power most of the ... 
Vachani says the semiconductor industry is an exciting place, ...",2 weeks ago
78,"From Ford trucks to Xbox, the chip shortage is still causing problems",Vox,"When car demand returned and automakers needed semiconductors again, ... 
concluded a 100-day review of the US semiconductor supply chain, ...",4 days ago
79,Intel to Invest $20b in Semiconductor Production in Europe,Electropages,"Why are nations moving towards semiconductor self-sufficiency? The 
semiconductor shortage of 2020 / 2021 has been at the centre of attention 
in ...",3 days ago
80,How the global semiconductor tussle is shaping ASML’s future,Financial Times,"However, like other semiconductor players, ASML is trapped in the 
tightening vice between the US and China as they vie for technological ...",2 weeks ago
81,Tencent makes foray into semiconductor chip business,Global Times,"New postings for semiconductor chips development jobs on the official 
website of Tencent have sparked speculation that the Chinese tech ...",3 weeks ago
82,Explained: What makes semiconductors critical to multiple industries,India Today,"WHAT ARE SEMICONDUCTOR CHIPS? ... Integrated into complex, microelectronic 
circuits, semiconductors enable functions such as high-computing, ...",3 weeks ago
83,Europe's call for semiconductor factories: A solution in search ...,LSE Blogs,"Supply chain bottlenecks and chip shortages for the car industry have led 
to calls for Europe to develop its own semiconductor capacity.",6 days ago
84,ON Semiconductor Unveils New Trade Name: onsemi,EE Times Asia,"ON Semiconductor has launched its new trade name “onsemi” and refreshed 
brand as a next step in the company's evolution to establish itself ...",16 hours ago
85,"Transparency Is Critical as Semiconductor Industry Works to Meet Surging 
Demand",Nasdaq,"As the semiconductor industry grapples with surging demand, transparency 
into the supply chain is critical, according to Mike Splinter, chairman ...",4 weeks ago
86,"ON Semiconductor Reports Record Revenue and Non-GAAP Earnings per Share for 
Second Quarter 2021",Yahoo Finance,"ON Semiconductor Reports Record Revenue and Non-GAAP Earnings per Share for 
Second Quarter 2021. Mon, August 2, 2021, 5:00 AM ·11 min read. In this 
article:.",1 week ago
87,"GM keeps on trucking despite Covid, semiconductor concerns",The Business Times,"GM said its more bullish full-year outlook depended on having no vehicles 
stuck in inventory because of a lack of semiconductors.",5 days ago
88,Semiconductor crisis hits Maruti Suzuki; production partially impacted,Autocar India,"Semiconductor shortage still affecting automotive industry · Passenger 
vehicles use around 1,000 semiconductors · Automotive sector not biggest ...",2 days ago
89,Taiwan Semiconductor's Earnings Raise Doubts Over Outlook,Barron's,"Taiwan Semiconductor Manufacturing Co. had good news and bad news for tech 
investors. The company reported second-quarter revenue that was a ...",3 weeks ago
90,Semiconductor Market in East Asia to grow by USD 84.41 ...,PR Newswire,"2, 2021 /PRNewswire/ -- The semiconductor market in East Asia is set to 
grow by USD 84.41 billion, progressing at a CAGR of almost 6% during ...",6 days ago
91,Why ON Semiconductor Stock Just Jumped 14%,The Motley Fool,"Shares of ON Semiconductor (NASDAQ:ON) are up a solid 14% in 11 a.m. EDT 
trading Monday after the semiconductor manufacturer crushed analyst ...",1 week ago
92,Taiwan facing talent shortages in semiconductor sector,Taiwan News,"Job vacancies in semiconductor industry hit six-year high in Q2 2021 ... 
TAIPEI (Taiwan News) — Taiwanese tech companies are craving talent, as a ...",5 days ago
93,Intel's CEO lays out plan to reclaim semiconductor crown,MarketWatch,"The race is on at Intel Corp. as the semiconductor giant pledges to return 
to the top of its game, committing to produce the world's best ...",2 weeks ago
94,Peking University joins China's semiconductor push ...,The Bangkok Post,"Meanwhile, Tsinghua University created a semiconductor college in April, 
leveraging its strengths in science and engineering. The new school at ...",3 weeks ago
95,"Semiconductor wafer producer SK Siltron CSS to invest $300M in US to boost 
EV supply chain",TechCrunch,"Now, it might be strengthening that hold. SK Siltron CSS, a unit of South 
Korean semiconductor wafer manufacturer SK Siltron, announced ...",4 weeks ago
96,Is It Too Late to Buy This Semiconductor Stock After 58% Gains?,The Motley Fool,"The growing appetite for semiconductors has turned out to be a boon for 
ASML. · The company has seen a sharp spike in revenue and earnings as 
the ...",6 days ago
97,Semiconductor Shortage: Foxconn Acquires 6-inch Wafer Fab,Manufacturing Global,"Semiconductor Shortage: Foxconn Acquires 6-inch Wafer Fab ... “Although 
there are signs that the supply bottlenecks for semiconductors are ...",3 days ago
98,"Global Semiconductor Demand Drives a 78% Y/Y Increase in Unit Sales for 
IBC’s Beryllium-Aluminum Division",Yahoo Finance,"Preliminary, unaudited figures for the year ended June 30, 2021, show that 
unit sales of BeAl components for semiconductor manufacturing, ...",5 days ago
99,ON Semiconductor Corporation (ON) Q2 2021 Earnings Call Transcript,The Motley Fool,"Good morning, and thank you for joining ON Semiconductor Corporation's 
second quarter 2021 quarterly results conference call. I'm joined today ...",5 days ago
100,Mi Technovation invests RM29m to enter China's ...,The Edge Markets,"""In view of the massive investment and development in the semiconductor 
industry, the board foresees that Talentek and Mi Equipment China will ...",4 days ago
101,Tata Motors looking at measures to offset impact of semiconductor shortage,Business Standard,"Semiconductors are silicon chips that cater to control and memory functions 
in products ranging from automobiles, computers and cellphones to ...",1 week ago
102,"Intel wants to buy AMD's old chip-making business? How weird are 
semiconductor mergers going to get?",MarketWatch,"How weird are semiconductor mergers going to get? Last Updated: July 17, 
2021 at 3:24 p.m. ET First Published: July 15, 2021 at 10:33 p.m. ET.",3 weeks ago
103,July sales up but semiconductor shortage could chip away at ...,Autocar Professional,"A passenger vehicle typically uses around 1,000 semiconductors and any 
slowdown in the supply chain means manufacturing operations can come to 
a ...",10 hours ago
104,Chipmakers worry about making too many semiconductors,The Business Times,"South Korea's Samsung Electronics and SK Hynix will lead more than US$442 
billion of investment in semiconductor research and production in the ...",2 weeks ago
105,What the US Is Doing About Semiconductor Shortages — and ...,Built In,"Global semiconductor supply chain woes have been dragging on for months as 
demand for these chips continues to exceed what the domestic ...",2 weeks ago
106,Is This the Best Semiconductor Stock Right Now?,The Motley Fool,"ASML's unique position in the semiconductor market makes it a must-have in 
a long-term portfolio. · What is ASML? · Earnings highlights · Pros and ...",2 weeks ago
107,"Semiconductor shortages could last into 2023, Supplyframe ...",Supply Chain Quarterly,"A global shortage of semiconductors could stretch into the first ... 
Computer chips are in short supply as semiconductor production and ...",2 weeks ago
108,Power Semiconductor Market Size to Reach USD 59640 ...,PR Newswire,"Many semiconductor vendors are developing industry-specific devices in 
response to the growing use of Power MOSFET in electric and hybrid ...",3 weeks ago
109,Samsung still interested in NXP Semiconductor,The Korea Times,"Unlike semiconductors for use in AI devices, smartphones, computers and 
servers, automotive chips have thinner margins. But with the rapid ...",4 days ago
110,ON Semiconductor 16 Mp XGS Sensor Brings High Quality ...,Business Wire,"ON Semiconductor operates a responsive, reliable, world-class supply chain 
and quality program, a robust compliance and ethics program, and a ...",2 weeks ago
111,Seoul Semiconductor Reports Second Quarter Operating ...,Business Wire,"Seoul Semiconductor Reports Second Quarter Operating Profit up 70% on Year. 
Reported KRW 336.8 billion revenue for the second quarter 2021, all- ...",3 days ago
112,Frontken 2Q earnings climb to RM24.74mil on strong ...,The Star,"The semiconductor manufacturing services provider said revenue was up 
23.97% year-on-year (y-o-y) to RM108.63mil from RM87.62mil as volume ...",1 week ago
113,Semiconductor industry faces concerns about making too many chips,South China Morning Post,"Texas Instruments, one of world's largest chip makers, worries industry 
will make too many semiconductors. Amid a surge in investment to expand ...",2 weeks ago
114,Seoul Semiconductor: Inflection Point,Businesskorea,"Seoul Semiconductor posted sales of KRW336.8bn (+8.5% QoQ, +25.6% YoY) and 
operating profit of KRW23.4bn (+9.9% QoQ, +70.2% YoY) for 2Q21.",16 hours ago
115,"Maruti Suzuki production to be partially impacted in Aug due to 
semiconductor shortage",Business Today,"“This is to inform you that owing to the semiconductor shortage situation 
... or India that has been impacted by shortage of semiconductors.",5 days ago
116,PragmatIC Semiconductor leads project to increase the value ...,Packaging Europe,"Flexible electronics developer PragmatIC Semiconductor has announced it is 
working on an Innovate UK, Manufacturing Made Smarter project to ...",4 days ago
117,Taiwan gives TSMC green light for most advanced chip plant,Nikkei Asia,"TAIPEI -- Taiwan Semiconductor Manufacturing Co. has received final 
approval to build its most advanced chip plant yet, a day after U.S. ...",2 weeks ago
118,Low semiconductor supplies may not be the main reason for PS5 shortages,Ars Technica,"Low semiconductor supplies may not be the main reason for PS5 shortages. 
Plans to make 14.8 million consoles this fiscal year may still fall ...",5 days ago
119,AKHAN Semiconductor Fabricates First of its Kind 300MM ...,Business Wire,"To produce the world's most advanced technologies, semiconductor 
fabricators traditionally rely on 300MM silicon wafers despite the fact 
that ...",2 weeks ago
120,"Lam Research tops $4 billion in quarterly sales for first time amid 
semiconductor shortage",MarketWatch,"Lam Research Corp. sold more than $4 billion worth of 
semiconductor-manufacturing equipment and services in a single quarter for 
the first ...",2 weeks ago
121,GlobalFoundries to double semiconductor capacity in US | News,Automotive Logistics,"A wafer is a thin slice of semiconductor, such as a crystalline silicon, 
used for the fabrication of integrated circuits. Both moves are ...",3 weeks ago
122,Decoded | Impact of semiconductor chip shortage on global economy,India Today,"Semiconductor chips are made from silicon as it is a good electricity 
conductor. These chips are fitted into microcircuits that powers 
numerous ...",3 weeks ago
123,Is Taiwan Semiconductor Manufacturing Co. (TSM) A Smart Long-Term Buy?,Yahoo Finance,"In the Q2 2021 investor letter of Wedgewood Partners, the fund mentioned 
Taiwan Semiconductor Manufacturing Company Limited (NYSE: TSM), ...",3 weeks ago
124,"Kyoto Semiconductor Co., Ltd. Launches New Photodiode ...",Business Wire,"Kyoto Semiconductor Co., Ltd. Launches New Photodiode Demonstrating 
Superior Performance With Semtech's Linear Transimpedance Amplifier. 
KP-A ...",4 days ago
125,German carmakers partially shut down amid semiconductor ...,EURACTIV.com,"The German automotive industry is continuing to struggle with a severe 
supply shortage in semiconductors, while national and European ...",2 weeks ago
126,The global chip shortage is starting to hit the smartphone industry,CNBC,"Semiconductors have been in short supply this year, due to a number of ... 
Syed Alam, Accenture's global semiconductor lead, told CNBC.",1 week ago
127,Global Compound Semiconductor Market Growth Analysis in ...,PR Newswire,"NEW YORK, July 23, 2021 /PRNewswire/ -- The global compound semiconductor 
market is expected to grow by USD 11.53 billion, progressing a ...",2 weeks ago
128,"Advanced Micro Devices vs. Synopsys: Which Semiconductor Stock is a Better 
Buy?",Yahoo Finance,"As technical innovations in energy, automotive and artificial intelligence 
continue at an unprecedented pace, semiconductors have emerged as ...",6 days ago
