,title,source,excerpt,date
129,Semiconductor shortage to ‘outlast’ Covid-19 pandemic,Fleet News,"Fleet decision-makers are being warned that the global semiconductor 
shortage will have a greater impact on the automotive industry than the ...",6 days ago
130,China set to achieve 14 nm breakthrough in 2022,Total Telecom,"China consumes about 70% of global semiconductor production. But the 
country's plans to mass produce 14 nm chips next year within the ...",4 weeks ago
131,Shanghai’s big vision to lead world in next-gen tech is light on detail,South China Morning Post,"Shanghai wants to lead world in semiconductors, AI and electric cars, but 
plan to boost economy is light on detail. Companies are taking a wait- ...",2 weeks ago
132,Excelpoint's H1 earnings up over 4 times to US$12m on semiconductor strength,The Business Times,"... thanks to the elevated demand for semiconductors resulting from ... 
continue to see a rising need for semiconductor chips and solutions.",4 days ago
133,Increase in Demand for High Precision in Miniaturization ...,PR Newswire,"The semiconductor sector is expanding rapidly as a result of the driving 
... including semiconductors, medical, automotive, and electronics.",5 days ago
134,2 Semiconductor-Service Growth Stocks to Own Now,The Motley Fool,"The automotive industry has been hit hard by semiconductor shortages. Both 
of these companies offer unique solutions to help expand production ...",3 weeks ago
135,"Get Paid While You Wait: 3 Top Dividend Stocks in Semiconductor 
Manufacturing",The Motley Fool,"Semiconductors are crucial building blocks of next-gen technologies. The 
semiconductor index has nearly tripled the return of the S&P 500 over ...",1 month ago
136,Semiconductor shortage buffets Japanese companies,The Japan News,"The semiconductors in question are believed to mainly come from China, 
South Korea and Southeast Asia, and they are mainly traded on the ...",1 week ago
137,"Nissan 'cannot be optimistic' about the ongoing global chip shortage, CEO 
says",CNBC,"Uchida believes the chip shortage situation will improve but he warned 
there are “many complexities” surrounding semiconductor suppliers as ...",2 weeks ago
138,Dingell proposes $2 billion in federal semiconductor spending,Detroit News,"Debbie Dingell, D-Dearborn. The bill comes amid an ongoing semiconductor 
shortage that has forced shutdowns at auto plants and threatens to cut ...",2 weeks ago
139,Efficient energy transport in an organic semiconductor ...,Science Advances,"Efficient energy transport is desirable in organic semiconductor (OSC) 
devices. However, photogenerated excitons in OSC films mostly occupy ...",4 days ago
140,"How will car maker's evolve to combat semiconductor supply shortages? 
Opinion",AM-online,"The shortage of supply of semiconductors and microprocessors is having a 
profound impact on the global automotive sector – with the first ...",2 weeks ago
141,Semiconductor shortage weighs on Cooper Standard results,European Rubber Journal,"Earnings, Cooper Standard said, was particularly affected by a $200 million 
negative effect of semiconductors' shortage on sales and the ...",11 hours ago
142,Acquisition of UK's largest chip plant demonstrates UKs ...,Electropages,"Recently, it was announced that Nexperia is in the process of acquiring the 
UK's largest semiconductor fabrication plant Newport Wafer Fab.",3 weeks ago
143,ON Semiconductor to Announce Second Quarter 2021 ...,Business Wire,"ON Semiconductor to Announce Second Quarter 2021 Financial Results. Company 
provides conference call details. July 16, 2021 09:00 AM Eastern ...",3 weeks ago
144,"Upton, Meijer send letter to House leadership urging action on 
semiconductor shortage",Holland Sentinel,"Semiconductors are used for features like touchscreens, navigation systems 
... ""While the U.S. is a world leader in semiconductor design, ...",1 week ago
145,BE Semiconductor beats Q2 revenue forecasts on higher ...,Reuters,"July 27 (Reuters) - Chipmaking equipment supplier BE Semiconductor (BESI) 
(BESI.AS)beat its second-quarter revenue targets on Tuesday, ...",2 weeks ago
146,Intel is poised for earnings drop amid semiconductor shortage,Mint,"... in second-quarter earnings as Chief Executive Pat Gelsinger works to 
turn the chip giant around amid a global semiconductor shortage.",2 weeks ago
147,"Semiconductor Manufacturing International's (SMI) Management on Q2 2021 
Results - Earnings Call Transcript",Seeking Alpha,"Semiconductor Manufacturing International's (SMI) Management on Q2 2021 
Results - Earnings Call Transcript. Aug. 07, 2021 4:31 AM 
ETSemiconductor ...",2 days ago
148,Semiconductor foundry and geopolitical quandary - Beyond ...,The Ken,"US semiconductors accounted for about US$193 billion in global sales in 
2020—approximately half of the overall chips sold. Read this story. Just ...",1 week ago
149,Daimler says semiconductor shortage to last into 2022,Reuters,"LONDON, July 21 (Reuters) - Mercedes-Benz maker Daimler AG said on 
Wednesday that the global semiconductor shortage will last into 2022 and ...",3 weeks ago
150,ON Semiconductor Stock Composite Rating Hits 98,Investor's Business Daily,"ON Semiconductor makes power management, analog, digital signal processing 
(DSP) and other chips for a wide variety of industries. A global ...",5 days ago
151,‘Industrial Policy’ Is Back: The West Dusts Off Old Idea to Counter China,Wall Street Journal,"South Korea approved up to $65 billion in support for semiconductors, and 
Japan promised to match other countries' semiconductor aid while ...",1 week ago
152,Tower Semiconductor Ltd (TSEM) Q2 2021 Earnings Call Transcript,The Motley Fool,"Thank you and welcome to Tower Semiconductor's financial results conference 
call for the second quarter of 2021. Before we begin, I would like ...",5 days ago
153,Semiconductor Woes: Maruti Suzuki Production Takes A Hit,Motoroids,"What are Semiconductors? ... Semiconductors are silicon chips that cater to 
control and memory functions with a wide range of applications like ...",8 hours ago
154,How Toyota kept making cars when the chips were down,Fortune,"The unexpected spike in demand wasn't the only factor in the shortage: A 
series of unpredictable disasters also tangled the semiconductor supply ...",1 week ago
155,"Car chip shortage to abate, smartphones could be next ...",Reuters,"July 23 (Reuters) - The semiconductor shortage that has gripped the world 
could last well into 2022 and hit smartphone production next, ...",2 weeks ago
156,3 Semiconductor Stocks Set to Soar,Entrepreneur,"ON Semiconductor is a global supplier of power and data management 
semiconductors that are used by producers of electronic products, 
appliances, ...",6 days ago
157,ON Semiconductor Stock Earns 81 RS Rating; Breaks Out On ...,Investor's Business Daily,"O N Semiconductor Corp (ON) ... In terms of fundamentals, the company has 
posted five quarters of rising earnings growth. Revenue growth has also ...",6 days ago
158,Behind the deal: Courting Taiwan Semiconductor took years ...,The Business Journals,"Behind the deal: Courting Taiwan Semiconductor took years. Now, it's on a 
strict timeline ... “Who would have ever thought in my career I'd be ...",3 weeks ago
159,Volvo Cars CEO Sees No Improvement in Semiconductor ...,Bloomberg.com,"Volvo Cars CEO Sees No Improvement in Semiconductor Situation. Bloomberg 
Markets · TV Shows. July 23rd, 2021, 12:27 AM PDT.",2 weeks ago
160,Inhibited nonradiative decay at all exciton densities in ...,Science,"Even with the application of strain, the semiconductor remained ... The 
photophysics of these monolayer semiconductors as a function ...",2 weeks ago
161,NXP Semiconductors NV (NXPI) Q2 2021 Earnings Call Transcript,The Motley Fool,"Welcome to the NXP Semiconductor's second quarter 2021 earnings call. With 
me on the call today is Kurt Sievers, NXP's President and CEO; ...",6 days ago
162,Will China Retaliate Against U.S. Chip Sanctions?,Lawfare Blog,"Semiconductors, the core of the digital economy, ... States has slowly 
tightened restrictions around key semiconductor players in China.",3 weeks ago
163,"Fabs, Fabless and Indian Semiconductor Industry",Swarajya,"Comparing semiconductor production to a mineral like crude oil is a 
non-starter. No amount of policy or human ingenuity can extract oil from 
a ...",2 weeks ago
164,Tata Motors to redesign vehicles to reduce impact of semiconductor crisis,Hindustan Times Auto News,"Tata Motors to redesign vehicles to reduce impact of semiconductor crisis 
... crisis due to lack of supply of semiconductors in coming days.",2 weeks ago
165,Staff and semiconductor shortages stifle UK new car output,Autocar,"Staff and semiconductor shortages stifle UK new car output. SMMT figures 
show 69,079 new cars left UK lines in June, down 37% on pre-Covid 2019.",1 week ago
166,Hedge Funds Are Buying Lattice Semiconductor Corporation (LSCC),Yahoo Finance,"Is Lattice Semiconductor Corporation (NASDAQ:LSCC) an excellent investment 
today? The best stock pickers were getting more bullish.",3 weeks ago
167,Strongest Semiconductor Stocks to Buy That Aren’t Nvidia,TheStreet,"It's hard to imagine a more bullish scenario for semiconductor stocks than 
the current global chip shortage. With the COVID-19 pandemic ...",3 weeks ago
168,"Sale of semiconductor factory to Chinese-owned firm presents bigger UK risk 
than Huawei",The Telegraph,"Sale of semiconductor factory to Chinese-owned firm presents bigger UK risk 
than Huawei. Ciaran Martin, the UK's former cybersecurity chief, has ...",2 weeks ago
169,GM will cut truck production amid semiconductor shortage,Reuters,"N) said Wednesday it will cut some truck production in North America 
because of the ongoing global semiconductor shortage.",3 weeks ago
170,"Carmakers hoarding semiconductors like 'toilet paper' risk prolonging the 
chip shortage",Euronews,"Growing mistrust between carmakers and the semiconductor industry in the 
wake of the global chip shortage is causing a ""mismatch"" between ...",4 weeks ago
171,New Research Center Focuses on Semiconductor Security,UT Dallas News Center,"Semiconductor chips — often referred to as simply semiconductors — make it 
possible for electronic devices to process, store and transmit data.",3 weeks ago
172,"Texas reigns in semiconductor, wind power sectors, according ...",The Business Journals,"Samsung has had a chipmaking campus in North Austin for the past 25 years, 
where it has already invested $17 billion. NXP Semiconductors NV also ...",1 week ago
173,"Semiconductor shortage will take 1-2 years to stabilize markets, Intel CEO 
says",WRAL TechWire,"The global shortage of semiconductors that has hobbled the auto industry 
and made some consumer electronics more expensive could last until ...",2 weeks ago
174,Semiconductor supply company moving to larger space in Chandler,KTAR News,"PHOENIX – A company based in the Netherlands that supplies products and 
support to semiconductor manufacturers is increasing its presence in ...",2 weeks ago
175,These Bendy Plastic Chips Fit in Unusual Places,WIRED,"Researchers think these flexible semiconductors will be able to monitor 
your heartbeat or tell you whether your milk has spoiled.",3 weeks ago
176,Jefferies Stays Extremely Bullish on 4 Red-Hot Semiconductor Stocks,24/7 Wall St.,"Four of the industry's best companies are the top semiconductor picks at 
Jefferies, and aggressive growth investors looking for an alpha upside ...",3 weeks ago
177,Biden Admin Says Semiconductor Chip Supply Should Improve Soon,Ford Authority,"In addition, Raimondo said that both Ford CEO Jim Farley and General Motors 
CEO Mary Barra have told her that the semiconductor chip supply is “ ...",3 weeks ago
178,"State of Texas: Lawmakers seek solutions for semiconductor shortages to 
improve national security",KXAN Austin,"AUSTIN (Nexstar) — America needs to think differently when it comes to 
boosting manufacturing of semiconductor chips, according to one Texas ...",2 weeks ago
179,"Taiwan Semiconductor: This Isn't The Peak, Not With Supply Tight Into 2022",Seeking Alpha,"Taiwan Semiconductor, Micron, GlobalFoundries, and others continue to 
preach tightness into 2022. This is merely a mid-cycle correction, not 
the ...",3 weeks ago
180,Welcome to the never-ending chip shortage,CNN,"London (CNN Business) The global shortage of semiconductors that has 
hobbled the auto industry and made some consumer electronics more ...",2 weeks ago
181,Is the world too dependent on Asia’s semiconductor industry?,Tech Wire Asia,"The Asia Pacific is also the world's biggest market for semiconductors, 
accounting for 60% of global semiconductor sales, with China alone ...",26 Mar 2021
182,IBM Chips In To Drive 2 Nanometer Semiconductor Manufacturing,The Next Platform,"First, the company continued to do fundamental research in semiconductor 
technologies at its facilities in New York, usually in conjunction ...",6 May 2021
183,Everything you need to know about the global semiconductor shortage,South China Morning Post,"Beyond consumer electronics, the tight supply has begun to impact China's 
giant home appliance manufacturing sector. Topic | Semiconductors.",12 May 2021
184,Commentary: There is a global semiconductor famine and it ...,CNA,"Semiconductors, responsible for microchips that power everything from 
computers to cars has been hit with a global shortage thanks to the ...",9 Mar 2021
185,US senators propose 25per cent tax credit for semiconductor ...,CNA,"WASHINGTON: A bipartisan group of U.S. senators on Thursday proposed a 
25per cent tax credit for investments in semiconductor manufacturing ...",1 month ago
186,GLOBALFOUNDRIES Moves Corporate Headquarters to its ...,HPCwire,"Fab 8, above, is the company's most advanced semiconductor manufacturing 
facility. “Today, GF's Fab 8 in New York is a $15 billion advanced ...",26 Apr 2021
187,Semiconductor cycle out of balance after customers stock up,Financial Times,"In an industry as cyclical as semiconductors, there is always either too 
much or too little supply. For the companies that design and use ...",15 Feb 2021
188,Stocks That Benefit As U.S. Reshores Semiconductor Production,Forbes,"Moreover, demand for semiconductor fabrication equipment is also likely to 
grow, as the U.S. government has been taking steps to protect its ...",1 month ago
189,The EU must play a long game for semiconductor success,Financial Times,"Sign up to myFT Daily Digest to be the first to know about Semiconductors 
news. The writer is chief executive of Intel. Technology has never ...",28 Apr 2021
190,South Korea to spend $451 billion on becoming a ...,Data Center Dynamics,"“The entire semiconductor industry is facing a watershed moment and now is 
the time to chart out a plan for long-term strategy and investment,” ...",14 May 2021
191,Will The US Let The Chips Fall On Semiconductor Policy?,Forbes,"There is bipartisan, bicameral support in Congress for the Creating Helpful 
Incentives to Produce Semiconductors for America Act (CHIPS for ...",31 May 2021
192,Investment outlook for semiconductors amid rising global chip ...,CNA,"Semiconductor companies may not be as headline-grabbing as their big tech 
counterparts such as Apple, Google and Facebook.",7 Apr 2021
193,Why semiconductors are as scarce as gold,ING Think,"A shortage of semiconductors is a continuing and major issue. The squeezed 
market is forcing manufacturers to slow down, ...",8 Apr 2021
194,How Taiwan's TSMC will counter the global chip shortage,Tech Wire Asia,"The global semiconductor chip shortage today is so severe that it has 
reached the extent of United States (US) President Joe Biden signing ...",15 Apr 2021
195,New Chinese chip firms have tripled in 2021 amid self-sufficiency push,South China Morning Post,"As China pursues self-sufficiency in semiconductors, Washington is seeking 
to counter Beijing with a new bill funding domestic fabrication.",9 Jun 2021
196,How the world ran out of semiconductors,The Conversation,"There's a global shortage in semiconductors, and it's becoming increasingly 
serious. The US is currently reviewing its supply of the ...",5 Mar 2021
197,Semiconductor factory in Milan is an answer to microchip crisis,Innovation Origins,"This week the cleanroom, the central part of STMicroelectronics' new 
semiconductor manufacturing plant in Agrate near Milan, Italy, was 
unveiled ...",1 month ago
198,Japan puts all chips on the table to lure semiconductor makers,Nikkei Asia,"TOKYO -- Japan will pull out every policy stop to court overseas 
semiconductor companies, including offering generous financial 
incentives, ...",3 Jun 2021
199,Fire destroys 5% of Renesas semiconductor cleanroom,Cleanroom Technology,"Renesas Electronics Corporation, one of the world's largest semiconductor 
manufacturers, has reported the occurrence of a fire on 19 March ...",24 Mar 2021
200,"US to lead world again, Biden tells CEOs at semiconductor ...",Nikkei Asia,"Heads of 19 companies, including Taiwan Semiconductor Manufacturing Co., 
Samsung's Device Solutions Division, Intel, Medtronic and Micron, are ...",13 Apr 2021
201,China Turns Semiconductors Into The ‘New Oil’ While GM Runs Out Of Chips,Forbes,"China Turns Semiconductors Into The 'New Oil' While GM Runs Out Of Chips · 
China International Semiconductor Expo. Visitors look at 5G chips at ...",7 Feb 2021
202,China’s semiconductor output hits all-time high amid global shortage,South China Morning Post,"China's semiconductor output in May hits all-time high amid chip shortage 
and tech war with US. China's IC output in May surged 37.6 per cent ...",1 month ago
203,China’s small semiconductor companies get boost from Washington hostility,South China Morning Post,"... China's domestic semiconductor industry has gotten a boost as the 
country scrambles for self-reliance in all parts of the industry ...",7 May 2021
204,Why semiconductors are important in the US-China tech war,South China Morning Post,"A semiconductor is a substance that conducts electricity under some 
conditions but not others, making it a good medium to control electrical ...",29 Oct 2020
205,Lawmakers Ask Biden to Secure Funding for Semiconductor ...,Nextgov,"It says, the Chinese Communist Party 'aggressively plans to reorient and 
dominate the semiconductor supply chain'—and it goes into how much ...",13 Apr 2021
206,China's progress in advanced semiconductor technology slows,Nikkei Asia,"SHANGHAI -- China is facing delays in miniaturizing semiconductors. In a 
Nikkei survey, most of the seven major Chinese semiconductor ...",9 May 2021
207,Chinese semiconductor industry is speeding up advanced ...,Total Telecom,"Some Chinese companies have shifted its 14nm chipset orders from the market 
leader Taiwan Semiconductor Manufacturing Company (TSMC) to China's ...",22 Apr 2021
208,Why We're in the Midst of a Global Semiconductor Shortage ...,Harvard Business Review,"Business and financial media have detailed how the shortage of 
semiconductors has caused production cutbacks in the automotive industry: 
Ford, ...",26 Feb 2021
209,Boom quarter for top 10 semiconductor companies,eeNews Europe,"Samsung, with total growth of 25 per cent, is catching up on Intel which 
while the largest supplier was the only major semiconductor company to ...",25 May 2021
210,China’s universities rush to set up new semiconductor programmes,South China Morning Post,"China's Ministry of Education has made semiconductor science and 
engineering a priority academic programme; That has encouraged more ...",1 month ago
211,Lagging but motivated: The state of China's semiconductor ...,Brookings Institution,"Every year, China imports more than $300 billion of semiconductors, and 
most, though not all, major American semiconductor companies pull in at ...",7 Jan 2021
212,China's semiconductor IP sector accelerates drive for self ...,Global Times,"The semiconductor intellectual property (IP) sector in China is growing 
rapidly by the day, with tens of thousands of chip design companies ...",19 May 2021
213,Japan Seeks to Revive Stalled Semiconductor Industry ...,Supply Chain Digital,"Both nations have launched aggressive funding measures to revive their 
local semiconductor industries. And if Japan refuses to invest due to 
its ...",1 month ago
214,GlobalFoundries: New Singapore Semiconductor Facility ...,Manufacturing Global,"With the global demand for semiconductor chips increasing at an 
unprecedented rate, GlobalFoundries has established plans to not only 
expand the ...",1 month ago
215,Rising Revenues And Margins Could Drive ON Semiconductor Stock To $45,Forbes,"Up around 3.5x from its low in March 2020, at the current price of $38 per 
share, we believe ON Semiconductor stock (NASDAQ: ON) has further ...",7 Jun 2021
216,Why the semiconductor shortage won't end soon | Penn Today,Penn Today,"24 authorizing a long-term supply chain review of six sectors of the 
economy, and a short-term review of semiconductors and the materials 
needed ...",19 Mar 2021
217,"Governments are deploying 'wartime-like' efforts to win the global 
semiconductor race",CNBC,"These clever semiconductors make our internet-connected world go round. ... 
Through the so-called ""K-Semiconductor Strategy,"" the South ...",17 May 2021
218,China chases semiconductor self-sufficiency,East Asia Forum,"Huawei's Kirin chipsets are made by Taiwan Semiconductor Manufacturing 
Company (TSMC) using US technology and equipment. The technological gap ...",22 Feb 2021
219,"Semiconductors: Chinese takeover of UK's leading chipmaker doesn't need a 
security review – here's why",The Conversation,"Chinese state-backed conglomerate Wingtech Technology is taking full 
control of the UK's largest semiconductor foundry, Newport Wafer Fab ...",1 month ago
220,"US, China to set up working group to ease tension in global chips industry",South China Morning Post,"to ease a global shortage of chips, a move that could help Chinese firms, 
from Huawei Technologies to Shanghai-based Semiconductor ...",11 Mar 2021
221,Taiwan pledges to boost semiconductor supply to Europe ...,The Straits Times,"Taiwan's high-tech chip manufacturing plants are among the largest and most 
advanced in the world, with the Taiwan Semiconductor Manufacturing ...",11 May 2021
222,"Why there's a chip shortage that's hurting everything from the PlayStation 
5 to the Chevy Malibu",CNBC,"Semiconductors are in short supply because of strong demand for 
electronics, shifting business models in the semiconductor world that 
created a ...",10 Feb 2021
223,"Semiconductor investment frenzy ramps up in Asia amid chip shortages, tech 
war",South China Morning Post,"This came days after it was reported by Nikkei Asia that Taiwan 
Semiconductor Manufacturing Co (TSMC), the world's largest contract chip 
maker, ...",1 month ago
224,"China will ‘vigorously support’ semiconductor industry, IT minister says",South China Morning Post,"China will 'vigorously support' semiconductor industry, IT ministry head 
says, as country seeks self-sufficiency in chip-making. The head of the ...",1 Mar 2021
225,"When the chips are down, can 007 save the semiconductor?",Financial Times,"When the chips are down, can 007 save the semiconductor? 'After years of 
US-China trade skirmishing, semiconductors provide the arena in which ...",25 Apr 2021
226,What’s behind the semiconductor shortage and how long could it last?,Brookings Institution,"A global shortage of semiconductors has created serious anxiety in some 
industries and even caused automakers to halt production in several ...",24 May 2021
227,Taiwan’s foundry king says mainland China is not yet a competitor,South China Morning Post,"Chang, who established Taiwan Semiconductor Manufacturing Co (TSMC) in 
1987, is seen as the father of Taiwan's success in the foundry ...",22 Apr 2021
228,"Semiconductors are in short supply. 3 experts weigh in on what to do about 
it",Fortune,"Semiconductors power almost any smart device you own. They're small, 
complex, and powerful pieces of hardware that are integral to the ...",1 month ago
229,Chip Shortage 2021: Semiconductors Are Hard to Make and ...,Bloomberg.com,"Shortages of semiconductors are battering automakers and tech giants ... 
years to build semiconductor fabrication facilities and billions of ...",5 May 2021
230,S'pore semiconductor firms boost capacity amid global chip ...,The Straits Times,"Singapore Semiconductor Industry Association (SSIA) executive director Ang 
Wee Seng told The Straits Times that the high demand is forecast to ...",4 Jun 2021
231,Production localization new focus for Shanghai semiconductor ...,Global Times,"A global supply crunch and US sanctions on China's leading chipmakers have 
accelerated the localization of semiconductor industry, ...",18 Mar 2021
232,TSMC dominance as the world’s largest chipmaker explained,Tech Wire Asia,"One company in Taiwan – Taiwan Semiconductor Manufacturing Co. – accounts 
for more than half of the world's semiconductor foundry market in 2020 ...",4 Feb 2021
233,Qualcomm warns global chip shortages are spreading,South China Morning Post,"Qualcomm Inc, the world's largest smartphone chip maker, warned it is 
struggling to meet demand, signalling that a global semiconductor ...",4 Feb 2021
234,China’s chip makers bought more new gear in 2020 than any other country,South China Morning Post,"US-China tech war: China becomes world's top semiconductor equipment market 
as Beijing pushes local chip industry. Taiwan was the second-largest ...",15 Apr 2021
235,Malaysian Tycoons’ UWC Profit Nearly Doubles Amid Global Semiconductor Boom,Forbes,"“Semiconductor orders remain very strong,” UWC added in the ... able to 
meet the robust global demand for semiconductors and help ease the ...",1 month ago
236,Global chip and semiconductor industry heavily reliant on Asia,Consultancy.asia,"Asia's stronghold on the global semiconductor market has grown so strong 
that sanctions on China's chip production have become a source of ...",19 Apr 2021
237,Simply throwing money may not fulfill Europe's semiconductor ...,Global Times,"The EU now has just 10 percent of global semiconductor production capacity, 
far behind the US and Asian economies. As the COVID-19 pandemic ...",7 May 2021
238,US-Japan chip alliance won't contain China's rise: analysts,Global Times,"The importance of the semiconductor supply chain has been highlighted 
recently as several major global vehicle brands announced production 
halts ...",6 Apr 2021
239,TSMC: how a Taiwanese chipmaker became a linchpin of the ...,Financial Times,"Taiwan Semiconductor Manufacturing Company, the largest contract chipmaker 
... is building a plant to make 3 nanometre chips, semiconductors ...",23 Mar 2021
240,"Chip giants are making more money than ever as the semiconductor shortage 
rages",CNBC,"Around 57% of the world's chip foundry revenues in the last quarter were 
generated by one Taiwanese chipmaker: Taiwan Semiconductor ...",1 Jun 2021
241,"McCaul And Cotton Ask Raimondo To Tighten Controls On Semiconductor 
Manufacturing Equipment",Forbes,"... on U.S. Commerce Secretary Gina Raimondo to tighten restriction on the 
sale of semiconductor manufacturing equipment (SME) to China.",28 Apr 2021
242,Who really stands to win from the semiconductor explosion?,Citywire Selector,"The table below shows stocks as well as active and passive fund picks for 
exposure to the semiconductor market. US companies, such as Intel Corp ...",4 Mar 2021
243,"China must drive chip assembly, packaging innovations, experts say",South China Morning Post,"The landmark US Innovation and Competition Act identifies China as a major 
rival to America's technological dominance. Topic | Semiconductors.",9 Jun 2021
244,Why the current semiconductor shortage won’t be the last,South China Morning Post,"Why the semiconductor shortage hitting cars and smartphones won't be the 
last. The last big supply chain shock was 10 years ago when the ...",22 Mar 2021
245,"Why Is There a Chip Shortage? Covid-19, Surging Demand ...",Bloomberg.com,"It's also catapulted Taiwan Semiconductor Manufacturing Co. and Samsung ... 
Overall demand for semiconductors of all stripes—from basic ...",28 Mar 2021
246,Chinese chip foundry SMIC seeks to retain top talent with huge stock bonus,South China Morning Post,"... US$3.7 million in shares in effort to retain semiconductor talent ... 
self-sufficiency in semiconductors, but US sanctions and a talent ...",1 month ago
247,"Yes, the global microchip shortage is COVID's fault. No, it won ...",GCN,"Semiconductors are an essential component of electronic devices, ... They 
harness the conducting properties of semiconductor materials (such ...",8 Jun 2021
248,How Wuhan’s dream chip project became a nightmare,South China Morning Post,"China's semiconductors: How Wuhan's challenger to Chinese chip champion 
SMIC turned from dream to nightmare. Hopes that the HSMC facility could ...",20 Mar 2021
249,How Will the Global Semiconductor Crunch Impact South ...,The Diplomat,"Semiconductors are as ubiquitous as they are crucial to the modern economy 
and yet they are in short supply this year.",1 Apr 2021
250,"The semiconductor shortage is here to stay, but it will affect chip 
companies differently",MarketWatch,"Semiconductors in the age of COVID-19: Extreme demand spike will keep chips 
in short supply for the foreseeable future, but different types of ...",17 Apr 2021
251,Why Trailing Edge Semiconductor Manufacturing Matters,Forbes,"The need for processors on larger nodes is also constrained as most of the 
major semiconductor fabs have opted to invest in leading edge ...",13 May 2021
252,On Semiconductor LED driver ICs support smart and ...,LEDs Magazine,"Recent LED driver IC launches from On Semiconductor offer robust circuit 
protection while enabling visible light communications (VLC) and other ...",1 month ago
253,"White House Sets First Steps on Semiconductor, Mineral ...",MeriTalk,"On the semiconductors front, the White House said the government is ... the 
private sector in domestic semiconductor manufacturing and R&D.",8 Jun 2021
254,"Micron CEO sees semiconductor growth as cars become 'data centers on 
wheels' and 5G rolls out",CNBC,"Micron Technology sees immense growth for semiconductors in 5G and electric 
vehicles, CEO Sanjay Mehrotra told CNBC on Thursday.",1 month ago
255,"A global semiconductor shortage highlights a troubling trend: A small and 
shrinking number of the world's computer chips are made in the US",The Conversation,"Semiconductors are the logic and memory chips used in computers, phones, 
vehicles and appliances. The U.S. share of global semiconductor ...",9 Mar 2021
256,China wants disruptive chip tech to prepare for Moore’s Law demise,South China Morning Post,"China seeks to boost its domestic chip-making capability amid a protracted 
tech war with the US. Topic | Semiconductors.",15 May 2021
257,Controversial Wuhan semiconductor maker dismisses all staff ...,Global Times,"Chinese controversial semiconductor maker Wuhan Hongxin Semiconductor 
Manufacturing Co (HSMC) has reportedly issued a noticed to dismiss all ...",28 Feb 2021
258,"Semiconductor Industry Growth Spikes, But Supply Remains ...",IoT World Today,"Demand for semiconductors is white-hot as remote work and the appetite for 
consumer electronics continue unabated. But supply chain dysfunction ...",13 May 2021
